CustomerID,Recency,Frequency,Monetary,R,F,M,RFMGroup,RFMScore,RFM_Loyalty_Level,Cluster,Color
12346.0,325,1,77183.6,4,4,1,441,9,Silver,2,blue
12747.0,2,11,4196.01,1,1,1,111,3,Platinum,1,green
12748.0,1,210,33719.73,1,1,1,111,3,Platinum,1,green
12749.0,3,5,4090.88,1,2,1,121,4,Platinum,1,green
12820.0,3,4,942.34,1,2,2,122,5,Platinum,1,green
12821.0,214,1,92.72,4,4,4,444,12,Bronze,0,red
12822.0,70,2,948.88,3,3,2,332,8,Gold,2,blue
12823.0,74,5,1759.5,3,2,1,321,6,Gold,2,blue
12824.0,59,1,397.12,3,4,3,343,10,Silver,0,red
12826.0,2,7,1474.72,1,1,2,112,4,Platinum,1,green
12827.0,5,3,430.15000000000003,1,2,3,123,6,Gold,2,blue
12828.0,2,6,1018.71,1,1,2,112,4,Platinum,1,green
12829.0,336,2,293.0,4,3,4,434,11,Bronze,0,red
12830.0,37,6,6814.64,2,1,1,211,4,Platinum,1,green
12831.0,262,1,215.05,4,4,4,444,12,Bronze,0,red
12832.0,32,2,383.03,2,3,3,233,8,Gold,2,blue
12833.0,145,1,417.38,4,4,3,443,11,Bronze,0,red
12834.0,282,1,312.38,4,4,3,443,11,Bronze,0,red
12836.0,59,4,2612.86,3,2,1,321,6,Gold,2,blue
12837.0,173,1,134.1,4,4,4,444,12,Bronze,0,red
12838.0,33,2,683.13,2,3,2,232,7,Gold,2,blue
12839.0,2,14,5591.42,1,1,1,111,3,Platinum,1,green
12840.0,143,4,2726.77,4,2,1,421,7,Gold,2,blue
12841.0,4,25,4022.35,1,1,1,111,3,Platinum,1,green
12842.0,70,2,1118.99,3,3,2,332,8,Gold,2,blue
12843.0,65,8,1702.26,3,1,1,311,5,Platinum,2,blue
12844.0,29,2,325.96000000000004,2,3,3,233,8,Gold,2,blue
12845.0,267,4,354.09,4,2,3,423,9,Silver,0,red
12847.0,22,1,871.54,2,4,2,242,8,Gold,2,blue
12849.0,31,2,1050.8899999999999,2,3,2,232,7,Gold,2,blue
12851.0,96,1,135.18,3,4,4,344,11,Bronze,0,red
12852.0,294,1,311.55,4,4,3,443,11,Bronze,0,red
12853.0,134,6,1957.1000000000001,3,1,1,311,5,Platinum,2,blue
12854.0,78,3,1324.5,3,2,2,322,7,Gold,2,blue
12855.0,372,1,38.1,4,4,4,444,12,Bronze,0,red
12856.0,7,6,2179.93,1,1,1,111,3,Platinum,1,green
12857.0,210,2,1106.4,4,3,2,432,9,Silver,2,blue
12863.0,52,1,521.2,3,4,3,343,10,Silver,0,red
12864.0,138,1,147.12,3,4,4,344,11,Bronze,0,red
12867.0,26,7,4036.82,2,1,1,211,4,Platinum,1,green
12868.0,185,6,1607.0600000000002,4,1,1,411,6,Gold,2,blue
12871.0,84,2,380.64,3,3,3,333,9,Silver,0,red
12872.0,326,2,599.97,4,3,3,433,10,Silver,0,red
12873.0,282,1,374.0,4,4,3,443,11,Bronze,0,red
12875.0,143,2,343.2300000000001,4,3,3,433,10,Silver,0,red
